model_name,overlap_count,total_gd_count,overlap_ratio
MJ00D_98,12,15,0.8
MJ00D_188,12,15,0.8
MJ00D_226,12,15,0.8
MJ00D_164,11,15,0.7333
MJ00D_350,11,15,0.7333
MJ00D_114,11,15,0.7333
MJ00D_240,10,15,0.6667
MJ00D_180,10,15,0.6667
MJ00D_390,10,15,0.6667
MJ00D_167,10,15,0.6667
MJ00D_57,10,15,0.6667
MJ00D_286,10,15,0.6667
MJ00D_55,10,15,0.6667
MJ00D_64,10,15,0.6667
MJ00D_78,10,15,0.6667
MJ00D_147,9,15,0.6
MJ00D_387,9,15,0.6
MJ00D_105,9,15,0.6
MJ00D_374,9,15,0.6
MJ00D_317,9,15,0.6
MJ00D_291,9,15,0.6
MJ00D_352,9,15,0.6
MJ00D_252,9,15,0.6
MJ00D_285,9,15,0.6
MJ00D_88,9,15,0.6
MJ00D_152,9,15,0.6
MJ00D_316,9,15,0.6
MJ00D_173,8,15,0.5333
MJ00D_391,8,15,0.5333
MJ00D_137,8,15,0.5333
MJ00D_371,8,15,0.5333
MJ00D_94,8,15,0.5333
MJ00D_0,8,15,0.5333
MJ00D_40,8,15,0.5333
MJ00D_28,8,15,0.5333
MJ00D_277,8,15,0.5333
MJ00D_269,8,15,0.5333
MJ00D_247,8,15,0.5333
MJ00D_236,8,15,0.5333
MJ00D_361,8,15,0.5333
MJ00D_200,8,15,0.5333
MJ00D_210,8,15,0.5333
MJ00D_20,8,15,0.5333
MJ00D_359,8,15,0.5333
MJ00D_295,8,15,0.5333
MJ00D_297,8,15,0.5333
MJ00D_53,8,15,0.5333
MJ00D_52,8,15,0.5333
MJ00D_133,8,15,0.5333
MJ00D_134,8,15,0.5333
MJ00D_32,7,15,0.4667
MJ00D_264,7,15,0.4667
MJ00D_268,7,15,0.4667
MJ00D_135,7,15,0.4667
MJ00D_279,7,15,0.4667
MJ00D_145,7,15,0.4667
MJ00D_154,7,15,0.4667
MJ00D_389,7,15,0.4667
MJ00D_100,7,15,0.4667
MJ00D_37,7,15,0.4667
MJ00D_332,7,15,0.4667
MJ00D_202,7,15,0.4667
MJ00D_43,7,15,0.4667
MJ00D_142,7,15,0.4667
MJ00D_299,6,15,0.4
MJ00D_184,6,15,0.4
MJ00D_122,6,15,0.4
MJ00D_131,6,15,0.4
MJ00D_319,6,15,0.4
MJ00D_47,6,15,0.4
MJ00D_338,6,15,0.4
MJ00D_177,6,15,0.4
MJ00D_172,6,15,0.4
MJ00D_363,6,15,0.4
MJ00D_194,6,15,0.4
MJ00D_124,5,15,0.3333
MJ00D_107,5,15,0.3333
MJ00D_111,4,15,0.2667
