model_name,overlap_count,total_gd_count,overlap_ratio
mj00b_256,13,13,1.0
mj00b_325,12,13,0.9231
mj00b_315,12,13,0.9231
mj00b_69,12,13,0.9231
mj00b_239,12,13,0.9231
mj00b_508,12,13,0.9231
mj00b_525,12,13,0.9231
mj00b_526,12,13,0.9231
mj00b_417,12,13,0.9231
mj00b_70,12,13,0.9231
mj00b_547,11,13,0.8462
mj00b_394,11,13,0.8462
mj00b_115,11,13,0.8462
mj00b_30,11,13,0.8462
mj00b_343,11,13,0.8462
mj00b_500,11,13,0.8462
mj00b_400,11,13,0.8462
mj00b_236,11,13,0.8462
mj00b_457,11,13,0.8462
mj00b_41,11,13,0.8462
mj00b_64,11,13,0.8462
mj00b_356,11,13,0.8462
mj00b_135,11,13,0.8462
mj00b_553,11,13,0.8462
mj00b_63,10,13,0.7692
mj00b_67,10,13,0.7692
mj00b_13,10,13,0.7692
mj00b_369,10,13,0.7692
mj00b_8,10,13,0.7692
mj00b_520,10,13,0.7692
mj00b_216,10,13,0.7692
mj00b_273,10,13,0.7692
mj00b_207,10,13,0.7692
mj00b_206,10,13,0.7692
mj00b_204,10,13,0.7692
mj00b_528,10,13,0.7692
mj00b_521,10,13,0.7692
mj00b_322,10,13,0.7692
mj00b_59,10,13,0.7692
mj00b_4,10,13,0.7692
mj00b_9,10,13,0.7692
mj00b_191,10,13,0.7692
mj00b_440,10,13,0.7692
mj00b_481,10,13,0.7692
mj00b_474,10,13,0.7692
mj00b_419,10,13,0.7692
mj00b_466,10,13,0.7692
mj00b_296,10,13,0.7692
mj00b_563,10,13,0.7692
mj00b_570,10,13,0.7692
mj00b_364,9,13,0.6923
mj00b_376,9,13,0.6923
mj00b_220,9,13,0.6923
mj00b_515,9,13,0.6923
mj00b_512,9,13,0.6923
mj00b_243,9,13,0.6923
mj00b_427,9,13,0.6923
mj00b_516,9,13,0.6923
mj00b_300,9,13,0.6923
mj00b_447,9,13,0.6923
mj00b_446,9,13,0.6923
mj00b_52,9,13,0.6923
mj00b_540,9,13,0.6923
mj00b_189,9,13,0.6923
mj00b_19,9,13,0.6923
mj00b_444,9,13,0.6923
mj00b_318,9,13,0.6923
mj00b_0,9,13,0.6923
mj00b_122,9,13,0.6923
mj00b_1,8,13,0.6154
mj00b_2,8,13,0.6154
mj00b_192,8,13,0.6154
mj00b_557,8,13,0.6154
mj00b_200,8,13,0.6154
mj00b_309,8,13,0.6154
mj00b_552,8,13,0.6154
mj00b_351,8,13,0.6154
mj00b_390,8,13,0.6154
mj00b_138,8,13,0.6154
mj00b_159,8,13,0.6154
mj00b_72,8,13,0.6154
mj00b_151,8,13,0.6154
mj00b_517,8,13,0.6154
mj00b_219,8,13,0.6154
mj00b_224,8,13,0.6154
mj00b_504,8,13,0.6154
mj00b_489,8,13,0.6154
mj00b_533,8,13,0.6154
mj00b_455,8,13,0.6154
mj00b_475,8,13,0.6154
mj00b_536,7,13,0.5385
mj00b_537,7,13,0.5385
mj00b_435,7,13,0.5385
mj00b_293,7,13,0.5385
mj00b_433,7,13,0.5385
mj00b_355,7,13,0.5385
mj00b_36,7,13,0.5385
mj00b_402,7,13,0.5385
mj00b_568,7,13,0.5385
mj00b_572,7,13,0.5385
mj00b_62,7,13,0.5385
mj00b_107,7,13,0.5385
mj00b_214,7,13,0.5385
mj00b_247,7,13,0.5385
mj00b_450,7,13,0.5385
mj00b_310,7,13,0.5385
mj00b_284,7,13,0.5385
mj00b_268,7,13,0.5385
mj00b_267,7,13,0.5385
mj00b_215,7,13,0.5385
mj00b_532,7,13,0.5385
mj00b_255,7,13,0.5385
mj00b_210,7,13,0.5385
mj00b_129,7,13,0.5385
mj00b_130,7,13,0.5385
mj00b_131,7,13,0.5385
mj00b_109,7,13,0.5385
mj00b_12,7,13,0.5385
mj00b_75,7,13,0.5385
mj00b_83,7,13,0.5385
mj00b_85,7,13,0.5385
mj00b_86,7,13,0.5385
mj00b_123,6,13,0.4615
mj00b_84,6,13,0.4615
mj00b_575,6,13,0.4615
mj00b_278,6,13,0.4615
mj00b_506,6,13,0.4615
mj00b_513,6,13,0.4615
mj00b_495,6,13,0.4615
mj00b_463,6,13,0.4615
mj00b_263,6,13,0.4615
mj00b_418,6,13,0.4615
mj00b_441,6,13,0.4615
mj00b_331,6,13,0.4615
mj00b_164,6,13,0.4615
mj00b_55,6,13,0.4615
mj00b_545,6,13,0.4615
mj00b_574,6,13,0.4615
mj00b_366,6,13,0.4615
mj00b_40,6,13,0.4615
mj00b_431,5,13,0.3846
mj00b_50,5,13,0.3846
mj00b_303,5,13,0.3846
mj00b_212,5,13,0.3846
mj00b_478,5,13,0.3846
mj00b_571,5,13,0.3846
mj00b_329,5,13,0.3846
mj00b_543,5,13,0.3846
mj00b_185,5,13,0.3846
mj00b_378,4,13,0.3077
mj00b_271,4,13,0.3077
mj00b_98,4,13,0.3077
mj00b_49,3,13,0.2308
